Date,Close,adj close after change position,adj weight,position,total value,equity
2020-09-30,3363.0,3363.0,0,147.93709123132479,497512.43781094527,49751.24378109453
2020-10-01,3380.800048828125,3380.800048828125,0,147.93709123132479,500145.72525835363,52384.53122850289
2020-10-02,3348.419921875,3348.419921875,0,147.93709123132479,495355.5034632073,47594.30943335654
2020-10-05,3408.60009765625,3408.60009765625,0,147.93709123132479,504258.3836180752,56497.189588224486
2020-10-06,3360.969970703125,3360.969970703125,0,147.93709123132479,497212.1211816512,49450.92715180045
2020-10-07,3419.43994140625,3419.43994140625,0,147.93709123132479,505861.9985718523,58100.80454200154
2020-10-08,3446.830078125,3446.830078125,0,147.93709123132479,509914.01572645246,62152.82169660172
2020-10-09,3477.139892578125,3477.139892578125,0,147.93709123132479,514397.9615124089,66636.76748255818
2020-10-12,3534.219970703125,3534.219970703125,0,147.93709123132479,522842.22223747824,75081.0282076275
2020-10-13,3511.929931640625,3511.929931640625,0,147.93709123132479,519544.6986951394,71783.50466528864
2020-10-14,3488.669921875,3488.669921875,0,147.93709123132479,516103.6805084006,68342.48647854986
2020-10-15,3483.340087890625,3483.340087890625,0,147.93709123132479,515315.2003720063,67554.00634215554
2020-10-16,3483.81005859375,3483.81005859375,0,147.93709123132479,515384.7264707905,67623.53244093977
2020-10-19,3426.919921875,3426.919921875,0,147.93709123132479,506968.56512486626,59207.37109501552
2020-10-20,3443.1201171875,3443.1201171875,0,147.93709123132479,509365.17489677685,61603.98086692611
2020-10-21,3435.56005859375,3435.56005859375,0,147.93709123132479,508246.7618188791,60485.56778902837
2020-10-22,3453.489990234375,3453.489990234375,0,147.93709123132479,510899.2637517697,63138.06972191893
2020-10-23,3465.389892578125,3465.389892578125,0,147.93709123132479,512659.7006904409,64898.50666059015
2020-10-26,3400.969970703125,3400.969970703125,0,147.93709123132479,503129.60483090417,55368.410801053426
2020-10-27,3390.679931640625,3390.679931640625,0,147.93709123132479,501607.3263833412,53846.13235349048
2020-10-28,3271.030029296875,3271.030029296875,0,147.93709123132479,483906.6678644948,36145.47383464404
2020-10-29,3310.110107421875,3310.110107421875,0,147.93709123132479,489688.0609474002,41926.86691754949
2020-10-30,3269.9599609375,3269.9599609375,0,147.93709123132479,483748.3650639902,35987.171034139436
2020-11-02,3310.239990234375,3310.239990234375,0,147.93709123132479,489707.2754328824,41946.08140303168
2020-11-03,3369.159912109375,3369.159912109375,0,147.93709123132479,498423.7172906468,50662.523260796064
2020-11-04,3443.43994140625,3443.43994140625,0,147.93709123132479,509412.48876140406,61651.294731553324
2020-11-05,3510.449951171875,3510.449951171875,0,147.93709123132479,519325.7546895133,71564.56065966256
2020-11-06,3509.43994140625,3509.43994140625,0,147.93709123132479,519176.3367826715,71415.14275282077
2020-11-09,3550.5,3550.5,0,147.93709123132479,525250.6424168186,77489.44838696791
2020-11-10,3545.530029296875,3545.530029296875,0,147.93709123132479,524515.3994074934,76491.94767793894
2020-11-11,3572.659912109375,3587.659912109375,1,212.14773024449642,757931.6912895059,72929.17477064981
2020-11-12,3537.010009765625,3537.010009765625,0,212.14773024449642,750368.6454238414,65366.12890498532
2020-11-13,3585.14990234375,3585.14990234375,0,212.14773024449642,760581.4143685045,75578.89784964843
2020-11-16,3626.909912109375,3626.909912109375,0,212.14773024449642,769440.7056552699,84438.1891364138
2020-11-17,3609.530029296875,3609.530029296875,0,212.14773024449642,765753.6029646827,80751.08644582663
2020-11-18,3567.7900390625,3567.7900390625,0,212.14773024449642,756898.5587760325,71896.04225717642
2020-11-19,3581.8701171875,3581.8701171875,0,212.14773024449642,759885.6153919165,74883.09887306037
2020-11-20,3557.5400390625,3557.5400390625,0,212.14773024449642,754724.0445410265,69721.52802217036
2020-11-23,3577.590087890625,3577.590087890625,0,212.14773024449642,758977.6168912045,73975.10037234839
2020-11-24,3635.409912109375,3635.409912109375,0,212.14773024449642,771243.961362348,86241.44484349195
2020-11-25,3629.64990234375,3629.64990234375,0,212.14773024449642,770021.9883643846,85019.47184552852
2020-11-27,3638.35009765625,3638.35009765625,0,212.14773024449642,771867.7150526153,86865.19853375916
2020-11-30,3621.6298828125,3621.6298828125,0,212.14773024449642,768320.5594243134,83318.04290545726
2020-12-01,3662.449951171875,3662.449951171875,0,212.14773024449642,776980.44427518,91977.92775632389
2020-12-02,3669.010009765625,3669.010009765625,0,212.14773024449642,778372.145816115,93369.62929725886
2020-12-03,3666.719970703125,3666.719970703125,0,212.14773024449642,777886.3192268343,92883.80270797823
2020-12-04,3699.1201171875,3699.1201171875,0,212.14773024449642,784759.9367630837,99757.42024422757
2020-12-07,3691.9599609375,3691.9599609375,0,212.14773024449642,783240.9258664503,98238.40934759419
2020-12-08,3702.25,3702.25,0,212.14773024449642,785423.9342976869,100421.4177788308
2020-12-09,3672.820068359375,3672.820068359375,0,212.14773024449642,779180.4410988776,94177.92458002147
2020-12-10,3668.10009765625,3668.10009765625,0,212.14773024449642,778179.1100273891,93176.59350853303
2020-12-11,3663.4599609375,3663.4599609375,0,212.14773024449642,777194.7155544821,92192.19903562596
2020-12-14,3647.489990234375,3647.489990234375,0,212.14773024449642,773806.722517743,88804.2059988869
2020-12-15,3694.6201171875,3694.6201171875,0,212.14773024449642,783805.2719769835,98802.75545812742
2020-12-16,3701.169921875,3701.169921875,0,212.14773024449642,785194.7981749814,100192.28165612527
2020-12-17,3722.47998046875,3722.47998046875,0,212.14773024449642,789715.6787370227,104713.16221816657
2020-12-18,3709.409912109375,3709.409912109375,0,212.14773024449642,786942.8934004408,101940.3768815847
2020-12-21,3694.919921875,3694.919921875,0,212.14773024449642,783868.8748609533,98866.3583420972
2020-12-22,3687.260009765625,3687.260009765625,0,212.14773024449642,782243.841893077,97241.3253742209
2020-12-23,3690.010009765625,3690.010009765625,0,212.14773024449642,782827.2481512494,97433.31800831764
2020-12-24,3703.06005859375,3718.06005859375,1,260.75042792429343,965574.4949076794,93037.31871379001
2020-12-28,3735.360107421875,3735.360107421875,0,260.75042792429343,973996.7464615885,101459.57026769916
2020-12-29,3727.0400390625,3727.0400390625,0,260.75042792429343,971827.2850765222,99290.10888263278
2020-12-30,3732.0400390625,3732.0400390625,0,260.75042792429343,973131.0372161437,100593.8610222543
2020-12-31,3756.070068359375,3756.070068359375,0,260.75042792429343,979396.8776383371,106859.70144444771
2021-01-04,3700.64990234375,3700.64990234375,0,260.75042792429343,964946.0456341276,92408.8694402382
2021-01-05,3726.860107421875,3726.860107421875,0,260.75042792429343,971780.3678242321,99243.19163034271
2021-01-06,3748.139892578125,3748.139892578125,0,260.75042792429343,977329.0809098614,104791.90471597199
2021-01-07,3803.7900390625,3803.7900390625,0,260.75042792429343,991839.8804197117,119302.70422582232
2021-01-08,3824.679931640625,3824.679931640625,0,260.75042792429343,997286.9288487503,124749.75265486093
2021-01-11,3799.610107421875,3799.610107421875,0,260.75042792429343,990749.9614557244,118212.78526183506
2021-01-12,3801.18994140625,3801.18994140625,0,260.75042792429343,991161.9038431996,118624.72764931023
2021-01-13,3809.840087890625,3809.840087890625,0,260.75042792429343,993417.4332406082,120880.25704671882
2021-01-14,3795.5400390625,3795.5400390625,0,260.75042792429343,989688.6893893363,117151.5131954469
2021-01-15,3768.25,3768.25,0,260.75042792429343,982572.8000257188,110035.62383182938
2021-01-19,3798.909912109375,3798.909912109375,0,260.75042792429343,990567.3852283595,118030.20903447011
2021-01-20,3851.85009765625,3851.85009765625,0,260.75042792429343,1004371.5612640986,131834.38507020925
2021-01-21,3853.070068359375,3853.070068359375,0,260.75042792429343,1004689.6691469935,132152.49295310417
2021-01-22,3841.469970703125,3841.469970703125,0,260.75042792429343,1001664.9387191628,129127.76252527346
2021-01-25,3855.360107421875,3855.360107421875,0,260.75042792429343,1005286.7978125038,132749.6216186144
2021-01-26,3849.6201171875,3849.6201171875,0,260.75042792429343,1003790.0929026093,131252.9167087199
2021-01-27,3750.77001953125,3750.77001953125,0,260.75042792429343,978014.8876383839,105477.71144449452
2021-01-28,3787.3798828125,3787.3798828125,0,260.75042792429343,987560.9251552197,115023.74896133036
2021-01-29,3714.239990234375,3714.239990234375,0,260.75042792429343,968489.6668671367,95952.49067324735
2021-02-01,3773.860107421875,3773.860107421875,0,260.75042792429343,984035.637936674,111498.46174278457
2021-02-02,3826.31005859375,3826.31005859375,0,260.75042792429343,997711.9851493486,125174.80895545924
2021-02-03,3830.169921875,3830.169921875,0,260.75042792429343,998718.4461516638,126181.2699577744
2021-02-04,3871.739990234375,3871.739990234375,0,260.75042792429343,1009557.8592652129,137020.68307132352
2021-02-05,3886.830078125,3886.830078125,0,260.75042792429343,1013492.6061401087,140955.4299462193
2021-02-08,3915.590087890625,3915.590087890625,0,260.75042792429343,1020991.7909936022,147944.11890421607
2021-02-09,3911.22998046875,3926.22998046875,1,374.9349356608058,1466456.7610816655,141584.05447674554
2021-02-10,3909.8798828125,3909.8798828125,0,374.9349356608058,1465950.5623037836,141077.85569886363
2021-02-11,3916.3798828125,3916.3798828125,0,374.9349356608058,1468387.639385579,143514.93278065894
2021-02-12,3934.830078125,3934.830078125,0,374.9349356608058,1475305.2621780005,150432.55557308055
2021-02-16,3932.590087890625,3932.590087890625,0,374.9349356608058,1474465.4115835943,149592.7049786743
2021-02-17,3931.330078125,3931.330078125,0,374.9349356608058,1473992.9899031876,149120.28329826763
2021-02-18,3913.969970703125,3913.969970703125,0,374.9349356608058,1467484.0791439023,142611.3725389823
2021-02-19,3906.7099609375,3906.7099609375,0,374.9349356608058,1464762.0478495308,139889.34124461084
2021-02-22,3876.5,3876.5,0,374.9349356608058,1453435.2780891138,128562.57148419379
2021-02-23,3881.3701171875,3881.3701171875,0,374.9349356608058,1455261.2551634696,130388.5485585496
2021-02-24,3925.429931640625,3925.429931640625,0,374.9349356608058,1471780.8188606792,146908.1122557592
2021-02-25,3829.340087890625,3829.340087890625,0,374.9349356608058,1435753.379476616,110880.67287169595
2021-02-26,3811.14990234375,3811.14990234375,0,374.9349356608058,1428933.2434289402,104060.53682402021
2021-03-01,3901.820068359375,3901.820068359375,0,374.9349356608058,1462928.6562903633,138055.9496854433
