Date,Close,adj close after change position,adj weight,position,total value,equity
2020-09-30,3363.0,3363.0,0,14.860247544975653,49975.01249375312,49975.01249375312
2020-10-01,3380.800048828125,3380.800048828125,0,14.860247544975653,50239.52562565171,50239.52562565171
2020-10-02,3348.419921875,3348.419921875,0,14.860247544975653,49758.348923590536,49758.348923590536
2020-10-05,3408.60009765625,3408.60009765625,0,14.860247544975653,50652.64123300006,50652.64123300006
2020-10-06,3360.969970703125,3360.969970703125,0,14.860247544975653,49944.84575587801,49944.84575587801
2020-10-07,3419.43994140625,3419.43994140625,0,14.860247544975653,50813.72399447392,50813.72399447392
2020-10-08,3446.830078125,3446.830078125,0,14.860247544975653,51220.74820640527,51220.74820640527
2020-10-09,3477.139892578125,3477.139892578125,0,14.860247544975653,51671.15955222099,51671.15955222099
2020-10-12,3534.219970703125,3534.219970703125,0,14.860247544975653,52519.38364304504,52519.38364304504
2020-10-13,3511.929931640625,3511.929931640625,0,14.860247544975653,52188.14814478911,52188.14814478911
2020-10-14,3488.669921875,3488.669921875,0,14.860247544975653,51842.498641773374,51842.498641773374
2020-10-15,3483.340087890625,3483.340087890625,0,14.860247544975653,51763.29598939194,51763.29598939194
2020-10-16,3483.81005859375,3483.81005859375,0,14.860247544975653,51770.27987037926,51770.27987037926
2020-10-19,3426.919921875,3426.919921875,0,14.860247544975653,50924.87835587113,50924.87835587113
2020-10-20,3443.1201171875,3443.1201171875,0,14.860247544975653,51165.61726849183,51165.61726849183
2020-10-21,3435.56005859375,3435.56005859375,0,14.860247544975653,51053.27292633418,51053.27292633418
2020-10-22,3453.489990234375,3453.489990234375,0,14.860247544975653,51319.71614897836,51319.71614897836
2020-10-23,3465.389892578125,3465.389892578125,0,14.860247544975653,51496.55164356752,51496.55164356752
2020-10-26,3400.969970703125,3400.969970703125,0,14.860247544975653,50539.25565767703,50539.25565767703
2020-10-27,3390.679931640625,3390.679931640625,0,14.860247544975653,50386.34312996081,50386.34312996081
2020-10-28,3271.030029296875,3271.030029296875,0,14.860247544975653,48608.31596240053,48608.31596240053
2020-10-29,3310.110107421875,3310.110107421875,0,14.860247544975653,49189.05559741501,49189.05559741501
2020-10-30,3269.9599609375,3269.9599609375,0,14.860247544975653,48592.41448169017,48592.41448169017
2020-11-02,3310.239990234375,3310.239990234375,0,14.860247544975653,49190.9856881606,49190.9856881606
2020-11-03,3369.159912109375,3369.159912109375,0,14.860247544975653,50066.55031255373,50066.55031255373
2020-11-04,3443.43994140625,3443.43994140625,0,14.860247544975653,51170.36993555333,51170.36993555333
2020-11-05,3510.449951171875,3510.449951171875,0,14.860247544975653,52166.15526866176,52166.15526866176
2020-11-06,3509.43994140625,3509.43994140625,0,14.860247544975653,52151.14627352173,52151.14627352173
2020-11-09,3550.5,3550.5,0,14.860247544975653,52761.308908436054,52761.308908436054
2020-11-10,3545.530029296875,3545.530029296875,0,14.860247544975653,52687.45391349634,52661.11018653959
2020-11-11,3572.659912109375,3587.659912109375,1,14.671065284779944,52414.72681087282,52414.72681087282
2020-11-12,3537.010009765625,3537.010009765625,0,14.671065284779944,51891.70476619163,51891.70476619163
2020-11-13,3585.14990234375,3585.14990234375,0,14.671065284779944,52597.968273007595,52597.968273007595
2020-11-16,3626.909912109375,3626.909912109375,0,14.671065284779944,53210.632102572126,53210.632102572126
2020-11-17,3609.530029296875,3609.530029296875,0,14.671065284779944,52955.65070718812,52955.65070718812
2020-11-18,3567.7900390625,3567.7900390625,0,14.671065284779944,52343.28058547353,52343.28058547353
2020-11-19,3581.8701171875,3581.8701171875,0,14.671065284779944,52549.8503308602,52549.8503308602
2020-11-20,3557.5400390625,3557.5400390625,0,14.671065284779944,52192.90216630453,52192.90216630453
2020-11-23,3577.590087890625,3577.590087890625,0,14.671065284779944,52487.05774162498,52487.05774162498
2020-11-24,3635.409912109375,3635.409912109375,0,14.671065284779944,53335.33615749276,53335.33615749276
2020-11-25,3629.64990234375,3629.64990234375,0,14.671065284779944,53250.830678180304,53250.830678180304
2020-11-27,3638.35009765625,3638.35009765625,0,14.671065284779944,53378.47181160033,53378.47181160033
2020-11-30,3621.6298828125,3621.6298828125,0,14.671065284779944,53133.16844805213,53133.16844805213
2020-12-01,3662.449951171875,3662.449951171875,0,14.671065284779944,53732.0423358817,53732.0423358817
2020-12-02,3669.010009765625,3669.010009765625,0,14.671065284779944,53828.28538378258,53828.28538378258
2020-12-03,3666.719970703125,3666.719970703125,0,14.671065284779944,53794.68807119195,53794.68807119195
2020-12-04,3699.1201171875,3699.1201171875,0,14.671065284779944,54270.03273550065,54270.03273550065
2020-12-07,3691.9599609375,3691.9599609375,0,14.671065284779944,54164.98561570767,54164.98561570767
2020-12-08,3702.25,3702.25,0,14.671065284779944,54315.95145057655,54315.95145057655
2020-12-09,3672.820068359375,3672.820068359375,0,14.671065284779944,53884.18300215033,53884.18300215033
2020-12-10,3668.10009765625,3668.10009765625,0,14.671065284779944,53814.936003822535,53814.936003822535
2020-12-11,3663.4599609375,3663.4599609375,0,14.671065284779944,53746.860255091444,53746.860255091444
2020-12-14,3647.489990234375,3647.489990234375,0,14.671065284779944,53512.56377230988,53512.56377230988
2020-12-15,3694.6201171875,3694.6201171875,0,14.671065284779944,54204.01294171914,54204.01294171914
2020-12-16,3701.169921875,3701.169921875,0,14.671065284779944,54300.10555389201,54300.10555389201
2020-12-17,3722.47998046875,3722.47998046875,0,14.671065284779944,54612.746814743405,54612.746814743405
2020-12-18,3709.409912109375,3709.409912109375,0,14.671065284779944,54420.994988566476,54420.994988566476
2020-12-21,3694.919921875,3694.919921875,0,14.671065284779944,54208.41139586214,54208.41139586214
2020-12-22,3687.260009765625,3687.260009765625,0,14.671065284779944,54096.03232522982,54096.03232522982
2020-12-23,3690.010009765625,3690.010009765625,0,14.671065284779944,54136.377754762965,54109.30956588558
2020-12-24,3703.06005859375,3718.06005859375,1,14.545829701342916,53864.08098614961,53864.08098614961
2020-12-28,3735.360107421875,3735.360107421875,0,14.545829701342916,54333.911995748575,54333.911995748575
2020-12-29,3727.0400390625,3727.0400390625,0,14.545829701342916,54212.889698289575,54212.889698289575
2020-12-30,3732.0400390625,3732.0400390625,0,14.545829701342916,54285.618846796286,54285.618846796286
2020-12-31,3756.070068359375,3756.070068359375,0,14.545829701342916,54635.15556066691,54635.15556066691
2021-01-04,3700.64990234375,3700.64990234375,0,14.545829701342916,53829.02326378348,53829.02326378348
2021-01-05,3726.860107421875,3726.860107421875,0,14.545829701342916,54210.27244328716,54210.27244328716
2021-01-06,3748.139892578125,3748.139892578125,0,14.545829701342916,54519.80457425114,54519.80457425114
2021-01-07,3803.7900390625,3803.7900390625,0,14.545829701342916,55329.28212786764,55329.28212786764
2021-01-08,3824.679931640625,3824.679931640625,0,14.545829701342916,55633.142947788394,55633.142947788394
